bid,reserved 
3244480,3244480
170000,200000
148000,200000
141500,200000
137400,200000
135000,200000
134990,200000
134950,200000
188900,200000
187500,200000
144999,150000
144000,150000
24000,30000
22850,30000
18700,30000
113885,113885
97000,130000
96999,130000
70611,71000
122946,125970
80000,149000
74999,149000
68997,149000
68900,149000
166666,193500
114990,193500
111000,193500
105000,193500
91895,193500
74447,193500
62000,193500
61900,193500
111111,146000
106601,146000
101000,146000
69999,146000
69995,146000
100000,156000
95000,156000
68200,156000
61500,156000
44777,156000
253200,254500
215000,254500
176796,254500
153700,254500
115000,254500
114000,254500
35000,35000
112222,220000
100000,220000
65555,220000
60000,220000
59995,220000
147250,148000
120450,148000
95059,148000
65000,148000
144275,145000
127592,145000
90000,145000
9800,11800
8300,11800
7700,11800
7690,11800
49392,49392
166588,199000
166580,199000
20000,20000
20000,20000
25471,67000
24000,67000
23970,67000
73000,73000
73000,73000
72300,73000
4500,4500
105046,105046
153530,153530
12487,12588
59100,65000
58720,65000
7521,7572
99500,106080
48000,50000
31389,32000
25900,32000
24000,32000
23950,32000
422000,465700
409000,465700
142752,144982
1999,3700
1000,3700
270000,350000
266500,350000
40600,45000
39600,45000
11000,15000
10995,15000
124150,170000
104900,170000
104050,170000
61500,62100
82700,83500
37630,38000
90000,90000
49500,50000
17770,20000
7380,7600
31160,35000
29170,30000
123000,159500
122999,159500
5940,6000
34557,35000
20275,20275
19978,20275
330000,409900
325000,409900
199999,409900
195000,409900
194500,409900
155555,409900
155000,409900
1940,2140
1470,2140
2380,2380
3600,3600
188100,190000
19200,24000
19100,24000
47840,50000
175000,178000
31762,32000
9610,11000
11250,18000
11200,18000
11199,18000
19830,20500
19720,20500
7100,20000
7099,20000
42000,42000
39360,40400
39342,40400
121022,126100
120372,126100
8980,8980
10530,10530
14790,23000
9000,23000
8000,23000
19380,19380
19278,19380
8500,13120
8490,13120
45000,50000
44500,50000
44400,50000
74217,86000
30000,42000
29700,42000
50000,70000
49500,70000
27797,28100
27490,28100
121100,125000
110000,125000
105555,125000
105500,125000
90707,125000
82222,125000
82200,125000
70648,70648
5396,8000
3999,8000
239100,239100
11760,12000
63800,63800
32000,32000
31800,32000
178000,198000
20000,32000
14455,32000
14411,32000
53439,53439
45000,45000
28214,28214
27100,27100
12210,12210
10569,10990
10100,10990
10099,10990
10000,15000
9999,15000
25833,25833
1783,1783
28800,28800
164997,168000
164900,168000
89000,160000
88950,160000
13056,13500
35100,36000
3000,3000
26000,26000
18500,26000
24000,26800
21300,26800
21250,26800
19300,26800
19000,26800
15000,25260
14950,25260
19920,19920
19000,23725
18036,23725
97799,104000
97795,104000
3408,7000
2400,7000
2398,7000
181350,186000
179500,186000
199860,199860
2600,3250
2399,3250
2395,3250
4341,4371
840,850
71796,72200
3614,3614
101010,148120
89200,148120
79000,148120
69000,148120
64000,148120
63995,148120
6468,6508
6070,6070
10011,10011
7140,11000
7135,11000
31106,31479
109200,110000
210999,258464
10400,10500
4800,6000
2140,6000
2139,6000
50000,50000
366995,488343
270000,488343
7560,7560
19573,19573
148500,150000
28000,32000
27900,32000
27025,32000
27020,32000
11980,12600
11698,12600
11695,12600
296050,302050
290000,302050
46100,46100
39000,50000
38900,50000
6240,6400
5440,5500
4990,5500
4950,5500
68655,69000
2900,4000
2880,4000
19780,20400
3715,4000
3600,4000
34149,36000
35800,36000
25000,28000
19990,28000
19700,28000
11040,11200
9500,11200
58000,72000
53999,72000
50250,72000
50000,72000
49000,72000
26960,27500
24000,27500
23900,27500
180000,190000
4224,4700
71500,71500
59138,71500
57709,71500
158400,158400
59333,61600
59332,61600
131177,131177
58222,62700
57746,62700
126420,135000
101801,135000
84700,135000
80700,135000
79000,135000
78400,135000
77000,135000
76999,135000
72667,135000
72500,135000
240999,258500
199999,258500
297000,330000
249000,330000
230333,330000
219999,330000
185000,330000
184800,330000
5880,10000
5849,10000
5595,10000
5470,10000
5400,10000
330000,340000
306800,340000
299200,340000
275000,340000
257777,340000
257700,340000
392998,401000
319900,401000
318000,401000
300777,401000
199000,217000
184000,217000
149900,217000
127777,217000
127770,217000
72000,91825
