reserved price,winnig price
1500,1478
92115,79900
10000,7075
30000,21999
3000,2399
68000,60000
169932,157000
6500,6350
14000,4750
3600,3000
15000,14900
15000,11700
9000,9000
9500,5900
7417,5250
2300,2150
3000,3000
9000,9000
1563480,1432786
4550,2835
70843,60367
69900,66042
10750,10750
44955,33333
7157,4890
9940,9940
82850,65789
,165.19
1150,1130
24000,18000
76000,74700
15198,15198
9840,8000
29000,23128
1680,1080
114570,107000
4999,3897
5000,4696
97420,70880
14500,14000
55500,55500
20254,10500
6520,6150
,75100
115500,115500
6700,5555
424649,383643
8444,8444
1980,1880
274250,274250
19112,18633
120000,120000
29807,18000
299757,294757
7000,5860
5440,4199
71248,63337
87067,70977
7000,5965
1800,1764
7884,7680
368969,335550
91220,72977
23240,15800
3450,3100
650,650
654500,647955
,82922
4500,4140
6800,6498
6732,5000
370760,315146
296340,229999
3280,3128
6815,6180
39386,24998
23877,18770
49785,40351
26650,22380
5520,2940
23500,21950
36000,33750
20000,15249
18000,16890
10000,10000
1200,1200
162070,127739
26460,26460
7200,6765
6000,6000
10000,5870
621197,545555
4760,4760
25423,24399
14000,13700
70000,57400
4237,3100
52711,45000
50500,49970
219788,219788
